# x 	 f(x, 2, 2) 	 f(x, 3, 3) 	 f(x, 2, 3) 	 f(x, 3, 2)
0	0	0	0	0
0.01	0.0594059	0.0029403	0.117624	0.00118812
0.02	0.117612	0.0115248	0.230519	0.00470447
0.03	0.174617	0.0254043	0.338758	0.010477
0.04	0.230423	0.0442368	0.442412	0.0184338
0.05	0.285029	0.0676875	0.541554	0.0285029
0.06	0.338434	0.0954288	0.636256	0.0406121
0.07	0.390639	0.12714	0.726589	0.0546895
0.08	0.441644	0.162509	0.812625	0.0706631
0.09	0.491449	0.201228	0.894437	0.0884608
0.1	0.540054	0.243	0.972097	0.108011
0.11	0.587459	0.287532	1.04568	0.129241
0.12	0.633663	0.334541	1.11525	0.152079
0.13	0.678668	0.383748	1.18088	0.176454
0.14	0.722472	0.434885	1.24265	0.202292
0.15	0.765077	0.487688	1.30063	0.229523
0.16	0.806481	0.541901	1.35489	0.258074
0.17	0.846685	0.597276	1.4055	0.287873
0.18	0.885689	0.653573	1.45253	0.318848
0.19	0.923492	0.710556	1.49606	0.350927
0.2	0.960096	0.768	1.53615	0.384038
0.21	0.9955	0.825684	1.57289	0.41811
0.22	1.0297	0.883397	1.60634	0.453069
0.23	1.06271	0.940932	1.63657	0.488845
0.24	1.09451	0.998093	1.66365	0.525365
0.25	1.12511	1.05469	1.68767	0.562556
0.26	1.15452	1.11053	1.70868	0.600348
0.27	1.18272	1.16545	1.72677	0.638668
0.28	1.20972	1.21928	1.742	0.677444
0.29	1.23552	1.27184	1.75444	0.716604
0.3	1.26013	1.323	1.76418	0.756076
0.31	1.28353	1.3726	1.77127	0.795788
0.32	1.30573	1.42049	1.77579	0.835668
0.33	1.32673	1.46656	1.77782	0.875644
0.34	1.34653	1.51066	1.77743	0.915644
0.35	1.36514	1.55269	1.77468	0.955596
0.36	1.38254	1.59252	1.76965	0.995428
0.37	1.39874	1.63007	1.76241	1.03507
0.38	1.41374	1.66522	1.75304	1.07444
0.39	1.42754	1.69789	1.7416	1.11348
0.4	1.44014	1.728	1.72817	1.15212
0.41	1.45155	1.75547	1.71282	1.19027
0.42	1.46175	1.78023	1.69563	1.22787
0.43	1.47075	1.80222	1.67665	1.26484
0.44	1.47855	1.82139	1.65597	1.30112
0.45	1.48515	1.83769	1.63366	1.33663
0.46	1.49055	1.85108	1.60979	1.37131
0.47	1.49475	1.86152	1.58443	1.40506
0.48	1.49775	1.869	1.55766	1.43784
0.49	1.49955	1.8735	1.52954	1.46956
0.5	1.50015	1.875	1.50015	1.50015
0.51	1.49955	1.8735	1.46956	1.52954
0.52	1.49775	1.869	1.43784	1.55766
0.53	1.49475	1.86152	1.40506	1.58443
0.54	1.49055	1.85108	1.37131	1.60979
0.55	1.48515	1.83769	1.33663	1.63366
0.56	1.47855	1.82139	1.30112	1.65597
0.57	1.47075	1.80222	1.26484	1.67665
0.58	1.46175	1.78023	1.22787	1.69563
0.59	1.45155	1.75547	1.19027	1.71282
0.6	1.44014	1.728	1.15212	1.72817
0.61	1.42754	1.69789	1.11348	1.7416
0.62	1.41374	1.66522	1.07444	1.75304
0.63	1.39874	1.63007	1.03507	1.76241
0.64	1.38254	1.59252	0.995428	1.76965
0.65	1.36514	1.55269	0.955596	1.77468
0.66	1.34653	1.51066	0.915644	1.77743
0.67	1.32673	1.46656	0.875644	1.77782
0.68	1.30573	1.42049	0.835668	1.77579
0.69	1.28353	1.3726	0.795788	1.77127
0.7	1.26013	1.323	0.756076	1.76418
0.71	1.23552	1.27184	0.716604	1.75444
0.72	1.20972	1.21928	0.677444	1.742
0.73	1.18272	1.16545	0.638668	1.72677
0.74	1.15452	1.11053	0.600348	1.70868
0.75	1.12511	1.05469	0.562556	1.68767
0.76	1.09451	0.998093	0.525365	1.66365
0.77	1.06271	0.940932	0.488845	1.63657
0.78	1.0297	0.883397	0.453069	1.60634
0.79	0.9955	0.825684	0.41811	1.57289
0.8	0.960096	0.768	0.384038	1.53615
0.81	0.923492	0.710556	0.350927	1.49606
0.82	0.885689	0.653573	0.318848	1.45253
0.83	0.846685	0.597276	0.287873	1.4055
0.84	0.806481	0.541901	0.258074	1.35489
0.85	0.765077	0.487688	0.229523	1.30063
0.86	0.722472	0.434885	0.202292	1.24265
0.87	0.678668	0.383748	0.176454	1.18088
0.88	0.633663	0.334541	0.152079	1.11525
0.89	0.587459	0.287532	0.129241	1.04568
0.9	0.540054	0.243	0.108011	0.972097
0.91	0.491449	0.201228	0.0884608	0.894437
0.92	0.441644	0.162509	0.0706631	0.812625
0.93	0.390639	0.12714	0.0546895	0.726589
0.94	0.338434	0.0954288	0.0406121	0.636256
0.95	0.285029	0.0676875	0.0285029	0.541554
0.96	0.230423	0.0442368	0.0184338	0.442412
0.97	0.174617	0.0254043	0.010477	0.338758
0.98	0.117612	0.0115248	0.00470447	0.230519
0.99	0.0594059	0.0029403	0.00118812	0.117624
